Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR30333743_1	(1, 38.36546467930557)	(2, 38.87302807957462)	(3, 38.85775595062101)	(4, 38.98242058390007)	(5, 38.94724425865603)	(6, 38.875857249415596)	(7, 38.910005239455536)	(8, 38.923905773469905)	(9, 38.91761648773875)	(10, 38.89732714742435)	(15, 39.234853397047075)	(20, 39.27494320485071)	(25, 39.07921726301067)	(30, 39.015895480204975)	(35, 39.008989006397634)	(40, 39.006660218699515)	(45, 39.04071446453768)	(50, 39.00735156331548)	(55, 38.9856985745738)	(60, 38.96538990552258)	(65, 38.943529204311425)	(70, 38.908755773993924)	(75, 38.88576799748115)	(80, 38.85081820632659)	(85, 38.80851157399434)	(90, 38.76952324421298)	(95, 38.73322753290408)	(100, 38.664103686452094)	(105, 38.67152196217991)	(110, 38.62788677278266)	(115, 38.60359659940063)	(120, 38.553299274452506)	(125, 38.56128254276872)	(130, 38.542083548472974)	(135, 38.50048002275949)	(140, 38.543879318468235)	(145, 38.66324744797878)	(150, 38.53394679413)
fastp | SRR30333743_2	(1, 38.558140989439174)	(2, 39.09806144683442)	(3, 39.21508566300422)	(4, 39.2442133969035)	(5, 39.21180414944497)	(6, 39.232730244819486)	(7, 39.260968391409996)	(8, 39.26759478955651)	(9, 39.295569178997184)	(10, 39.305967952124185)	(15, 39.34919247219024)	(20, 39.32769064937584)	(25, 39.18403591387984)	(30, 39.128754023657336)	(35, 39.12423965362573)	(40, 39.10833425527598)	(45, 39.08129581598379)	(50, 39.03387792762919)	(55, 39.05829095959283)	(60, 39.02971445782259)	(65, 38.99775931845814)	(70, 38.96713503081544)	(75, 38.91041864457631)	(80, 38.872066468479524)	(85, 38.86065856279865)	(90, 38.84263469171694)	(95, 38.815298668821654)	(100, 38.744088312054224)	(105, 38.724915884494834)	(110, 38.67663842984913)	(115, 38.65348851795788)	(120, 38.59620261491068)	(125, 38.560589468507985)	(130, 38.49940158419405)	(135, 38.472525050501055)	(140, 38.44308962236454)	(145, 38.53837227569413)	(150, 38.34901685570702)
fastp | SRR30333744_1	(1, 38.26764570247609)	(2, 38.788037965311844)	(3, 38.78871394495037)	(4, 38.9632874195874)	(5, 38.94823981443865)	(6, 38.898779818879234)	(7, 38.91382021663897)	(8, 38.95134785175392)	(9, 38.95883178415403)	(10, 38.9331020572482)	(15, 39.27920803005968)	(20, 39.31821554872067)	(25, 39.13915142083919)	(30, 39.08444465670821)	(35, 39.067867647375735)	(40, 39.06590590057416)	(45, 39.111719423646356)	(50, 39.08151410985544)	(55, 39.06020981212324)	(60, 39.044479076990385)	(65, 39.030293089145474)	(70, 39.00710196830488)	(75, 38.9905077914879)	(80, 38.96955204397689)	(85, 38.936018520304984)	(90, 38.907436452182424)	(95, 38.87792192082961)	(100, 38.813347338373624)	(105, 38.83830002383494)	(110, 38.80307521692311)	(115, 38.77958764863634)	(120, 38.732574041095006)	(125, 38.752854570393524)	(130, 38.725541540895755)	(135, 38.6964221306176)	(140, 38.74117189455903)	(145, 38.84394271618406)	(150, 38.716677990750924)
fastp | SRR30333744_2	(1, 38.41680036870615)	(2, 38.963108336628494)	(3, 39.09322291735781)	(4, 39.13745645411472)	(5, 39.13642377758034)	(6, 39.157281915483445)	(7, 39.17253633138069)	(8, 39.16766601859079)	(9, 39.21361482211946)	(10, 39.22047850590184)	(15, 39.27442292054375)	(20, 39.25331938252141)	(25, 39.08010270575254)	(30, 39.019713434102165)	(35, 39.02053198026325)	(40, 39.001281300232485)	(45, 38.98194546376321)	(50, 38.931630916501284)	(55, 38.96515203060177)	(60, 38.94207931044458)	(65, 38.91668232468514)	(70, 38.89035958676629)	(75, 38.83677001914979)	(80, 38.798546747871264)	(85, 38.789094791856215)	(90, 38.77912275144386)	(95, 38.7550471144897)	(100, 38.68572964460343)	(105, 38.67886799923359)	(110, 38.637022873065554)	(115, 38.621151108783984)	(120, 38.57450881074464)	(125, 38.55599638364721)	(130, 38.49573773726844)	(135, 38.478511769047074)	(140, 38.45253205793741)	(145, 38.545103827176625)	(150, 38.377221673821374)
fastp | SRR30333745_1	(1, 38.349456332611254)	(2, 38.854651606907844)	(3, 38.855696179534185)	(4, 38.99709727206075)	(5, 38.966218465630035)	(6, 38.89799256942156)	(7, 38.933835888395585)	(8, 38.95270087089662)	(9, 38.949922645861214)	(10, 38.93158248363017)	(15, 39.26159107583005)	(20, 39.298625702219525)	(25, 39.11175207227575)	(30, 39.05069628991914)	(35, 39.04125520111734)	(40, 39.03717304553831)	(45, 39.07273043778113)	(50, 39.038968230222295)	(55, 39.01678081798158)	(60, 38.996341740272754)	(65, 38.97470912374027)	(70, 38.94141836825819)	(75, 38.91743726386859)	(80, 38.88532905761954)	(85, 38.84263171255101)	(90, 38.805419621361764)	(95, 38.76661018910303)	(100, 38.69855382747172)	(105, 38.70566256620508)	(110, 38.66296500441113)	(115, 38.6357672774732)	(120, 38.584775011342565)	(125, 38.593476705386514)	(130, 38.57125530101139)	(135, 38.530930349050024)	(140, 38.57377446143245)	(145, 38.6911568660672)	(150, 38.560289037758636)
fastp | SRR30333745_2	(1, 38.58403610249538)	(2, 39.10558565577031)	(3, 39.213508658515224)	(4, 39.25238942239498)	(5, 39.25414780587483)	(6, 39.26650043243516)	(7, 39.261868289836244)	(8, 39.25956943031891)	(9, 39.28965275685917)	(10, 39.29538160292154)	(15, 39.333216585873075)	(20, 39.30714677744912)	(25, 39.1546880102617)	(30, 39.09672585878975)	(35, 39.09153403894953)	(40, 39.074268532423105)	(45, 39.047044865061125)	(50, 38.99911116539895)	(55, 39.02429097602288)	(60, 38.99507005373007)	(65, 38.96285853815182)	(70, 38.93257854275504)	(75, 38.87471692428729)	(80, 38.83614652526519)	(85, 38.82434658687151)	(90, 38.80786676731663)	(95, 38.780928903999914)	(100, 38.70952795252911)	(105, 38.693442430982586)	(110, 38.64576916367099)	(115, 38.62475721897805)	(120, 38.56775226810156)	(125, 38.537116598019516)	(130, 38.47512475673306)	(135, 38.45116179447156)	(140, 38.42285234918196)	(145, 38.52431363632707)	(150, 38.33809937389421)
fastp | SRR30333746_1	(1, 38.283948029120445)	(2, 38.817713324809624)	(3, 38.80077270623339)	(4, 38.970140054221524)	(5, 38.95726513738145)	(6, 38.899130878262)	(7, 38.920421668236685)	(8, 38.955855491650325)	(9, 38.964363202980444)	(10, 38.93515953284971)	(15, 39.27178123002979)	(20, 39.30620741274405)	(25, 39.11996979219333)	(30, 39.05757548291534)	(35, 39.03903549396009)	(40, 39.03203255799341)	(45, 39.07340139694601)	(50, 39.03839826338638)	(55, 39.01450688004188)	(60, 38.993667319147036)	(65, 38.975944915607386)	(70, 38.94648882649577)	(75, 38.92527531550383)	(80, 38.89864391239258)	(85, 38.85894262883921)	(90, 38.82529054909311)	(95, 38.78708240575645)	(100, 38.71748075582593)	(105, 38.734288610900634)	(110, 38.693265477019324)	(115, 38.66371035135232)	(120, 38.61088387088738)	(125, 38.627494080158975)	(130, 38.600005791509545)	(135, 38.566825520668154)	(140, 38.61275730980418)	(145, 38.72855787652407)	(150, 38.59433015804257)
fastp | SRR30333746_2	(1, 38.53930264732237)	(2, 39.07291191055008)	(3, 39.21081934733412)	(4, 39.26852527155233)	(5, 39.27748949707102)	(6, 39.29672821196606)	(7, 39.268897199210016)	(8, 39.26648322226403)	(9, 39.312898499350744)	(10, 39.32172725014712)	(15, 39.36774760839249)	(20, 39.34032271805628)	(25, 39.19988955082094)	(30, 39.146330991037225)	(35, 39.14255196256697)	(40, 39.12219728207379)	(45, 39.09868381647426)	(50, 39.04513005027879)	(55, 39.075419342995374)	(60, 39.04878030428411)	(65, 39.01928799154915)	(70, 38.98829459782042)	(75, 38.93066776987776)	(80, 38.88874696602535)	(85, 38.87799952522166)	(90, 38.865801506095806)	(95, 38.839179109420286)	(100, 38.76847331054411)	(105, 38.75916760495387)	(110, 38.71420785011576)	(115, 38.69740430869585)	(120, 38.64727957187709)	(125, 38.62470864182164)	(130, 38.562546462261714)	(135, 38.54496711687263)	(140, 38.51657794735724)	(145, 38.60475533351053)	(150, 38.428047229978915)
fastp | SRR30333747_1	(1, 37.95196057508793)	(2, 38.562377800593026)	(3, 38.55044730932795)	(4, 38.7507910319514)	(5, 38.72655937609528)	(6, 38.78665362565606)	(7, 38.78341200446406)	(8, 38.85629230869541)	(9, 38.89010633539289)	(10, 38.80647525024623)	(15, 39.1835841389248)	(20, 39.22409633581223)	(25, 38.99672955652892)	(30, 38.93531066443043)	(35, 38.91084800397407)	(40, 38.90504516052282)	(45, 38.959376611301096)	(50, 38.92374194643712)	(55, 38.8857464282561)	(60, 38.87240373486078)	(65, 38.85768388419494)	(70, 38.834249497611026)	(75, 38.81487127030535)	(80, 38.801106260661854)	(85, 38.76324470651437)	(90, 38.73543599206259)	(95, 38.6954230840309)	(100, 38.61568184582888)	(105, 38.6545613185416)	(110, 38.616841321768106)	(115, 38.59401883160545)	(120, 38.55099523496911)	(125, 38.59250865425423)	(130, 38.55420642056658)	(135, 38.55503714780012)	(140, 38.61835083445502)	(145, 38.74496896174464)	(150, 38.598293981162485)
fastp | SRR30333747_2	(1, 38.44843272913952)	(2, 38.795217150682504)	(3, 39.01673012407187)	(4, 39.05782680926192)	(5, 39.05837659752338)	(6, 39.13078440454704)	(7, 39.12409660390293)	(8, 39.13233229953177)	(9, 39.17237336495657)	(10, 39.16174999288042)	(15, 39.22975183552342)	(20, 39.200513884341326)	(25, 39.01900606233999)	(30, 38.96017022062328)	(35, 38.959842481487726)	(40, 38.93618788307652)	(45, 38.92175382502229)	(50, 38.8598224902972)	(55, 38.899083774338486)	(60, 38.87780715337449)	(65, 38.86231736643621)	(70, 38.83165983090028)	(75, 38.7818300351383)	(80, 38.73330576734621)	(85, 38.71979513964048)	(90, 38.711045990022185)	(95, 38.68512728911071)	(100, 38.615056119984686)	(105, 38.619743656616876)	(110, 38.579886149752866)	(115, 38.56971362470239)	(120, 38.53937861892374)	(125, 38.53085132303151)	(130, 38.479397744453024)	(135, 38.48301137586336)	(140, 38.471991699395645)	(145, 38.59536890064402)	(150, 38.406538284045354)
