Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | SRR30333743_1	SRR30333743_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48476411.0	0.0	30-151	53.0	30.431065718498097	130.17562869908005	137	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333743_2	SRR30333743_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48476411.0	0.0	30-151	53.0	27.55430605919223	130.20675736493777	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333744_1	SRR30333744_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43566401.0	0.0	30-151	53.0	36.78708094556475	135.3250699547112	147	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333744_2	SRR30333744_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43566401.0	0.0	30-151	53.0	35.0122134030648	135.33331699811512	147	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333745_1	SRR30333745_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46014991.0	0.0	30-151	53.0	34.08794053298679	132.68173656711136	142	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333745_2	SRR30333745_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46014991.0	0.0	30-151	53.0	31.451062690746344	132.70611090633486	142	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333746_1	SRR30333746_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41094013.0	0.0	30-151	53.0	38.38293019548293	134.85400067888236	147	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333746_2	SRR30333746_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41094013.0	0.0	30-151	53.0	35.176668922247295	134.87114487942563	147	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333747_1	SRR30333747_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39538858.0	0.0	30-151	51.0	41.98626661313302	137.37804422677053	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333747_2	SRR30333747_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39538858.0	0.0	30-151	51.0	40.653839005554474	137.3920263453234	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333748_1	SRR30333748_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63076131.0	0.0	30-151	52.0	34.957047960738194	138.93146870406494	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333748_2	SRR30333748_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63076131.0	0.0	30-151	52.0	33.4976331308255	138.93186397244307	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333749_1	SRR30333749_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51690252.0	0.0	30-151	51.0	23.34847748623405	141.1387510550345	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333749_2	SRR30333749_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51690252.0	0.0	30-151	51.0	21.276205941115077	141.14603095763587	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333750_1	SRR30333750_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51719952.0	0.0	30-151	52.0	38.22834720952299	137.25401850720976	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333750_2	SRR30333750_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51719952.0	0.0	30-151	52.0	36.68445854657049	137.2592058670124	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333751_1	SRR30333751_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53509691.0	0.0	30-151	52.0	37.05414676007085	136.5883133767302	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333751_2	SRR30333751_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53509691.0	0.0	30-151	52.0	35.04693565186177	136.59756261720892	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333752_1	SRR30333752_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57597689.0	0.0	30-151	52.0	36.95021779797289	138.45115214605224	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333752_2	SRR30333752_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57597689.0	0.0	30-151	52.0	35.266902385471695	138.4510872823387	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333753_1	SRR30333753_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38889034.0	0.0	30-151	53.0	36.84838049209043	131.8695020555152	137	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
