Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
fastp | SRR30333743_1	(20.0, 839.0)	(21.0, 17752.0)	(22.0, 44907.0)	(23.0, 60096.0)	(24.0, 74595.0)	(25.0, 87612.0)	(26.0, 102572.0)	(27.0, 117664.0)	(28.0, 141514.0)	(29.0, 165375.0)	(30.0, 200488.0)	(31.0, 240768.0)	(32.0, 305753.0)	(33.0, 387839.0)	(34.0, 531496.0)	(35.0, 777200.0)	(36.0, 1324558.0)	(37.0, 2275603.0)	(38.0, 5466218.0)	(39.0, 28146453.0)	(40.0, 8007109.0)	
fastp | SRR30333743_2	(19.0, 10.0)	(20.0, 5174.0)	(21.0, 50664.0)	(22.0, 79057.0)	(23.0, 80971.0)	(24.0, 91174.0)	(25.0, 98623.0)	(26.0, 109439.0)	(27.0, 116416.0)	(28.0, 132883.0)	(29.0, 149422.0)	(30.0, 174092.0)	(31.0, 202259.0)	(32.0, 250869.0)	(33.0, 314747.0)	(34.0, 426429.0)	(35.0, 618573.0)	(36.0, 1060800.0)	(37.0, 1858682.0)	(38.0, 4605866.0)	(39.0, 27428645.0)	(40.0, 10621616.0)
fastp | SRR30333744_1	(20.0, 765.0)	(21.0, 14630.0)	(22.0, 35127.0)	(23.0, 46394.0)	(24.0, 58060.0)	(25.0, 69056.0)	(26.0, 81854.0)	(27.0, 94464.0)	(28.0, 113722.0)	(29.0, 134181.0)	(30.0, 165161.0)	(31.0, 198826.0)	(32.0, 255106.0)	(33.0, 326504.0)	(34.0, 444668.0)	(35.0, 653251.0)	(36.0, 1114256.0)	(37.0, 1890337.0)	(38.0, 4437035.0)	(39.0, 24934446.0)	(40.0, 8498558.0)	
fastp | SRR30333744_2	(19.0, 11.0)	(20.0, 6731.0)	(21.0, 63968.0)	(22.0, 92635.0)	(23.0, 91907.0)	(24.0, 98772.0)	(25.0, 105283.0)	(26.0, 114105.0)	(27.0, 120832.0)	(28.0, 135933.0)	(29.0, 152687.0)	(30.0, 177698.0)	(31.0, 204130.0)	(32.0, 250256.0)	(33.0, 310191.0)	(34.0, 415515.0)	(35.0, 595091.0)	(36.0, 997819.0)	(37.0, 1711563.0)	(38.0, 4159549.0)	(39.0, 24859727.0)	(40.0, 8901998.0)
fastp | SRR30333745_1	(20.0, 840.0)	(21.0, 17231.0)	(22.0, 42519.0)	(23.0, 55719.0)	(24.0, 69772.0)	(25.0, 82089.0)	(26.0, 97090.0)	(27.0, 110351.0)	(28.0, 132365.0)	(29.0, 154775.0)	(30.0, 188084.0)	(31.0, 225368.0)	(32.0, 287421.0)	(33.0, 364116.0)	(34.0, 497821.0)	(35.0, 728798.0)	(36.0, 1231309.0)	(37.0, 2096295.0)	(38.0, 4957272.0)	(39.0, 26629026.0)	(40.0, 8046730.0)	
fastp | SRR30333745_2	(19.0, 10.0)	(20.0, 5680.0)	(21.0, 56634.0)	(22.0, 85033.0)	(23.0, 85585.0)	(24.0, 95670.0)	(25.0, 102844.0)	(26.0, 112560.0)	(27.0, 119882.0)	(28.0, 134853.0)	(29.0, 151018.0)	(30.0, 175802.0)	(31.0, 201362.0)	(32.0, 250032.0)	(33.0, 311168.0)	(34.0, 417269.0)	(35.0, 602998.0)	(36.0, 1021799.0)	(37.0, 1778010.0)	(38.0, 4336157.0)	(39.0, 25931976.0)	(40.0, 10038649.0)
fastp | SRR30333746_1	(20.0, 793.0)	(21.0, 15121.0)	(22.0, 36194.0)	(23.0, 48225.0)	(24.0, 60516.0)	(25.0, 70749.0)	(26.0, 84277.0)	(27.0, 96594.0)	(28.0, 115693.0)	(29.0, 136191.0)	(30.0, 166206.0)	(31.0, 200333.0)	(32.0, 256336.0)	(33.0, 324837.0)	(34.0, 443387.0)	(35.0, 647728.0)	(36.0, 1098293.0)	(37.0, 1872451.0)	(38.0, 4439143.0)	(39.0, 23917234.0)	(40.0, 7063712.0)	
fastp | SRR30333746_2	(19.0, 11.0)	(20.0, 4749.0)	(21.0, 44303.0)	(22.0, 65522.0)	(23.0, 67565.0)	(24.0, 75508.0)	(25.0, 83010.0)	(26.0, 91888.0)	(27.0, 98370.0)	(28.0, 112357.0)	(29.0, 126909.0)	(30.0, 148903.0)	(31.0, 171597.0)	(32.0, 212903.0)	(33.0, 265704.0)	(34.0, 358549.0)	(35.0, 517453.0)	(36.0, 882079.0)	(37.0, 1553438.0)	(38.0, 3814885.0)	(39.0, 23461844.0)	(40.0, 8936466.0)
fastp | SRR30333747_1	(19.0, 2.0)	(20.0, 1024.0)	(21.0, 19831.0)	(22.0, 46202.0)	(23.0, 58772.0)	(24.0, 71551.0)	(25.0, 82536.0)	(26.0, 96028.0)	(27.0, 108629.0)	(28.0, 130301.0)	(29.0, 153338.0)	(30.0, 186453.0)	(31.0, 222972.0)	(32.0, 284072.0)	(33.0, 357820.0)	(34.0, 482990.0)	(35.0, 689098.0)	(36.0, 1151418.0)	(37.0, 1932083.0)	(38.0, 4402780.0)	(39.0, 22804058.0)	(40.0, 6256900.0)
fastp | SRR30333747_2	(19.0, 11.0)	(20.0, 6522.0)	(21.0, 63127.0)	(22.0, 90376.0)	(23.0, 89722.0)	(24.0, 97780.0)	(25.0, 103655.0)	(26.0, 111983.0)	(27.0, 118405.0)	(28.0, 133568.0)	(29.0, 150193.0)	(30.0, 174358.0)	(31.0, 199439.0)	(32.0, 246242.0)	(33.0, 304157.0)	(34.0, 404871.0)	(35.0, 574357.0)	(36.0, 962671.0)	(37.0, 1640620.0)	(38.0, 3897532.0)	(39.0, 22417028.0)	(40.0, 7752241.0)
